r_datetime,url,title,citation,snippet
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Ubiquitin-interacting motifs of ataxin-3 regulate its polyglutamine toxicity through Hsc70-4-dependent aggregation.,Elife. 2020 Sep 21;9:e60742. doi: 10.7554/eLife.60742.,"UIMs function by interacting with the heat shock protein, Hsc70-4, whose reduction diminishes ataxin-3 toxicity in a UIM-dependent manner. Hsc70-4 also enhances pathogenicity of other polyglutamine proteins. Our studies provide a unique insight into the impac …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,"Methyl donor supply to heat stress-challenged polymorphonuclear leukocytes from lactating Holstein cows enhances 1-carbon metabolism, immune response, and cytoprotective gene network abundance.",J Dairy Sci. 2020 Sep 17:S0022-0302(20)30722-0. doi: 10.3168/jds.2020-18638. Online ahead of print.,"Compared with PMN receiving 0 μg of Chol/mL, heat-stressed PMN supplemented with Chol at 400 or 800 μg/mL had greater fold-change in abundance of CBS, CSAD, GSS, GSR, and GPX1. ...Both Chol and Met supply enhanced the cytoprotective characteristics of PMN through upregulat …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,RP11-462C24.1 suppresses proliferation and invasion of colorectal carcinoma cells by regulating HSP70 through PI3K/AKT signaling pathway.,Hum Cell. 2020 Sep 18. doi: 10.1007/s13577-020-00426-7. Online ahead of print.,"From the results, we found that RP11-462C24.1 was significantly decreased in CRC tumor tissues and the CRC cell lines, which were most significant in SW480 and HT-29 cell lines; moreover, transient overexpression of RP11-462C24.1 suppressed the growth and migration while promoted …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Small heat shock protein Hsp67Bc plays a significant role in Drosophila melanogaster cold-stress tolerance.,J Exp Biol. 2020 Sep 17:jeb.219592. doi: 10.1242/jeb.219592. Online ahead of print.,"Hsp67Bc in Drosophila melanogaster is a member of the small heat shock protein family, the main function of which is to prevent the aggregation of misfolded or damaged proteins. ...In addition, the deletion in the Hsp67Bc gene caused more prominent up-regulat …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,"LsHSP70 is induced by high temperature to interact with calmodulin, leading to higher bolting resistance in lettuce.",Sci Rep. 2020 Sep 16;10(1):15155. doi: 10.1038/s41598-020-72443-3.,"High temperatures have significant impacts on heat-tolerant bolting in lettuce. In this study, it was found that high temperatures could facilitate the accumulation of GA in lettuce to induce bolting, with higher expression levels of two heat shock protein ge …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Znonps AND GENE EXPRESSION IN BROILERS Effects of Zinc Oxide Nanoparticles on Regulatory Appetite and Heat Stress Protein Genes in Broiler Chickens Subjected to Heat Stress.,J Anim Sci. 2020 Sep 16:skaa300. doi: 10.1093/jas/skaa300. Online ahead of print.,"Our findings revealed that dietary ZnONPs altered the gene expression of cholecystokinin (ileum), HSP 70 (jejunum and ileum) and HSP 90 (duodenum, jejunum, and ileum). ...More studies are required to elucidate its complex physiological and biochemical functio …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Immune Responses of Asian Seabass Lates calcarifer to Dietary Glycyrrhiza uralensis.,Animals (Basel). 2020 Sep 11;10(9):E1629. doi: 10.3390/ani10091629.,"To understand the impacts of dietary Glycyrrhiza uralensis on the immune responses of Lates calcarifer, the expression of immune-related genes including crp, c-3, c-4, mtor, mlst-8, eif4e, hsp-70, hsp-90, il-8il-8, il-10, tgfβ1, tnf, ifn-γ1, and mxf in L. cal …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Heat Shock Proteins and PD-1/PD-L1 as Potential Therapeutic Targets in Myeloproliferative Neoplasms.,Cancers (Basel). 2020 Sep 11;12(9):E2592. doi: 10.3390/cancers12092592.,"Heat shock proteins (HSPs) are cytoprotective stress-response chaperones involved in protein homeostasis and in many critical pathways, including inflammation. ...These HSPs include HSP70, HSP90 (chaperoning JAK2) and both HSP110 and HSP27, which are k …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,"Effects of chronic nitrate exposure on the intestinal morphology, immune status, barrier function, and microbiota of juvenile turbot (Scophthalmus maximus).",Ecotoxicol Environ Saf. 2020 Sep 15;207:111287. doi: 10.1016/j.ecoenv.2020.111287. Online ahead of print.,"Additionally, the expression of HSP70 and HSP90 heat-shock proteins, toll-like receptor-3 (TLR-3), interleukin-1β (IL-1β), and tumor necrosis factor-α (TNF-α) significantly increased (P < 0.05), whereas that of transforming growth factor-β (TGF-β), …"
2020-09-23T05:53:43Z,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,Heat shock protein 90α in thymic epithelial tumors and non-thymomatous myasthenia gravis.,Oncoimmunology. 2020 May 13;9(1):1756130. doi: 10.1080/2162402X.2020.1756130.,"Heat shock proteins (HSPs) harbor great potential as cancer biomarkers and HSP inhibitors approach clinical cancer therapy. METHODS: To explore HSP pathophysiology, we assessed sera (immunoassays) and tissues (immunohistochemistry) of TETs (and …"
