rl_datetime,search_term,processed_search_term,url,max_return_size,results_count
2020-09-23T05:53:43Z,HSP-70,HSP-70,https://pubmed.ncbi.nlm.nih.gov/?term=HSP-70&sort=date&size=20,20,22883
2020-09-23T05:53:47Z,PACRITINIB,PACRITINIB,https://pubmed.ncbi.nlm.nih.gov/?term=PACRITINIB&sort=date&size=20,20,83
2020-09-23T05:53:50Z,MIDOSTAURIN,MIDOSTAURIN,https://pubmed.ncbi.nlm.nih.gov/?term=MIDOSTAURIN&sort=date&size=20,20,576
2020-09-23T05:53:54Z,AAFC,AAFC,https://pubmed.ncbi.nlm.nih.gov/?term=AAFC&sort=date&size=20,20,144
2020-09-23T05:53:58Z,P28,P28,https://pubmed.ncbi.nlm.nih.gov/?term=P28&sort=date&size=20,20,1474
2020-09-23T05:54:02Z,LEUCOVORIN,LEUCOVORIN,https://pubmed.ncbi.nlm.nih.gov/?term=LEUCOVORIN&sort=date&size=20,20,12350
2020-09-23T05:54:06Z,AXICABTAGENE CILOLEUCEL,AXICABTAGENECILOLEUCEL,https://pubmed.ncbi.nlm.nih.gov/?term=AXICABTAGENECILOLEUCEL&sort=date&size=20,20,152
2020-09-23T05:54:10Z,INIPARIB (BSI-201),INIPARIB(BSI-201),https://pubmed.ncbi.nlm.nih.gov/?term=INIPARIB(BSI-201)&sort=date&size=20,20,90
2020-09-23T05:54:13Z,CLOSTRIDIUM NOVYI-NT,CLOSTRIDIUMNOVYI-NT,https://pubmed.ncbi.nlm.nih.gov/?term=CLOSTRIDIUMNOVYI-NT&sort=date&size=20,20,25
2020-09-23T05:54:17Z,KTN3379,KTN3379,https://pubmed.ncbi.nlm.nih.gov/?term=KTN3379&sort=date&size=20,20,6
2020-09-23T05:54:21Z,ERTUMAXOMAB,ERTUMAXOMAB,https://pubmed.ncbi.nlm.nih.gov/?term=ERTUMAXOMAB&sort=date&size=20,20,15
2020-09-23T05:54:25Z,RO31-7453,RO31-7453,https://pubmed.ncbi.nlm.nih.gov/?term=RO31-7453&sort=date&size=20,20,NA
2020-09-23T05:54:28Z,MT-3724,MT-3724,https://pubmed.ncbi.nlm.nih.gov/?term=MT-3724&sort=date&size=20,20,NA
2020-09-23T05:54:29Z,RETASPIMYCIN (IPI-504),RETASPIMYCIN(IPI-504),https://pubmed.ncbi.nlm.nih.gov/?term=RETASPIMYCIN(IPI-504)&sort=date&size=20,20,13
